Sentences,File location,gloss_sequence,signer_id,sample_id
it does not make any difference to me,ISL_CSLRT_Corpus\Videos_Sentence_Level\it does not make any difference to me\difference (5).MP4,IT MAKE ANY DIFFERENCE  ME DO NOT ,6,ISL_0278_S6
tell me truth,ISL_CSLRT_Corpus\Videos_Sentence_Level\tell me truth\truth (4).MP4,TELL TRUTH,6,ISL_0341_S6
do me a favour,ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,DO  FAVOUR ME,4,ISL_0046_S4
do not worry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,DONOT WORRY,4,ISL_0065_S4
do not abuse him,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (3).MP4, HIM ABUSE DONOT,5,ISL_0048_S5
what you want,ISL_CSLRT_Corpus\Videos_Sentence_Level\what you want\what you want (3).MP4,YOU WANT WHAT ,2,ISL_0409_S2
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,STUBBORN  BE DONOT,3,ISL_0053_S3
i enjoyed a lot,ISL_CSLRT_Corpus\Videos_Sentence_Level\i enjoyed a lot\enjoy.MP4,I ENJOYED A LOT,0,ISL_0240_S0
i am suffering from fever,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am suffering from fever\fever (2).MP4,I FEVER SUFFERING  ,0,ISL_0204_S0
try to understand,ISL_CSLRT_Corpus\Videos_Sentence_Level\try to understand\understand.MP4,YOU TRY UNDERSTAND,6,ISL_0362_S6
pour some more water into the glass,ISL_CSLRT_Corpus\Videos_Sentence_Level\pour some more water into the glass\pour (4).MP4,WATER POUR  GLASS,6,ISL_0308_S6
are you free today,ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,YOU FREE TODAY,2,ISL_0004_S2
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust.MP4,I TRUST YOU HOW ,4,ISL_0133_S4
what do you think,ISL_CSLRT_Corpus\Videos_Sentence_Level\what do you think\what do you think (1).MP4, DO YOU THINK WHAT,1,ISL_0387_S1
you are good,ISL_CSLRT_Corpus\Videos_Sentence_Level\you are good\good (5).MP4,YOU GOOD,1,ISL_0451_S1
what happened,ISL_CSLRT_Corpus\Videos_Sentence_Level\what happened\happened (2).MP4,HAPPENED WHAT ,4,ISL_0398_S4
speak softly,ISL_CSLRT_Corpus\Videos_Sentence_Level\speak softly\softly.MP4,SPEAK SOFTLY,0,ISL_0333_S0
i am fine. thank you sir,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am fine. thank you sir\fine thank (5).MP4,I FINE THANK YOU ,2,ISL_0172_S2
comb your hair,ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (4).MP4,COMB YOU HAIR,6,ISL_0029_S6
do not make me angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (4).MP4,YOU ANGRY DONOT,5,ISL_0057_S5
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,STUBBORN  BE DONOT,5,ISL_0053_S5
how can i trust you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how can i trust you\trust (2).MP4,I TRUST YOU HOW ,4,ISL_0129_S4
where are you from,ISL_CSLRT_Corpus\Videos_Sentence_Level\where are you from\where are you from (5).MP4,YOU FROM WHERE ,5,ISL_0421_S5
take care of yourself,ISL_CSLRT_Corpus\Videos_Sentence_Level\take care of yourself\take care (5).MP4,TAKE CARE  YOURSELF,5,ISL_0337_S5
what are you doing,ISL_CSLRT_Corpus\Videos_Sentence_Level\what are you doing\what are you doing (5).MP4, YOU DO WHAT,3,ISL_0376_S3
how dare you,ISL_CSLRT_Corpus\Videos_Sentence_Level\how dare you\dare (3).MP4, DARE YOU HOW,0,ISL_0135_S0
i am crying,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am crying\i am crying (4).MP4,I CRY,6,ISL_0155_S6
why are you angry,ISL_CSLRT_Corpus\Videos_Sentence_Level\why are you angry\angry (3).MP4,YOU ANGRY WHY ,3,ISL_0428_S3
i am sitting in the class,ISL_CSLRT_Corpus\Videos_Sentence_Level\i am sitting in the class\sitting (2).MP4,I SITTING CLASS,2,ISL_0194_S2
do not be stubborn,ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,STUBBORN  BE DONOT,0,ISL_0053_S0
now onwards he will never hurt you,ISL_CSLRT_Corpus\Videos_Sentence_Level\now onwards he will never hurt you\never hurt (2).MP4,NOW ONWARDS HE HURT YOU NEVER ,2,ISL_0301_S2
